DAY,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_AVG,PRECIPITATION
01/01/1991,,,,4.2
02/01/1991,29.2,26.4,27.8,8.8
03/01/1991,28.6,26.0,27.3,5.5
04/01/1991,28.5,26.4,27.5,7.0
05/01/1991,28.5,26.2,27.4,8.9
06/01/1991,28.4,26.0,27.2,9.2
07/01/1991,28.2,26.0,27.1,7.5
08/01/1991,28.3,26.1,27.2,4.9
09/01/1991,28.5,26.3,27.4,7.2
10/01/1991,28.5,26.2,27.4,8.0
11/01/1991,28.5,26.2,27.3,7.3
12/01/1991,28.4,26.1,27.2,9.9
13/01/1991,28.2,25.9,27.0,8.0
14/01/1991,28.3,25.9,27.1,8.9
15/01/1991,28.3,25.9,27.1,9.1
16/01/1991,28.3,25.8,27.0,7.7
17/01/1991,28.3,25.9,27.1,7.4
18/01/1991,28.2,25.9,27.0,8.6
19/01/1991,28.3,25.8,27.1,7.6
20/01/1991,28.4,25.8,27.1,8.2
21/01/1991,28.3,25.8,27.0,9.4
22/01/1991,28.3,25.8,27.0,8.7
23/01/1991,28.3,25.9,27.1,10.2
24/01/1991,28.2,25.7,26.9,10.5
25/01/1991,28.3,25.8,27.0,12.5
26/01/1991,28.0,25.7,26.9,11.4
27/01/1991,28.1,25.7,26.9,12.4
28/01/1991,28.1,25.8,27.0,11.9
29/01/1991,28.2,25.7,26.9,7.8
30/01/1991,28.2,26.0,27.1,7.4
31/01/1991,28.5,25.9,27.2,9.3
01/02/1991,,,,17.6
02/02/1991,28.2,25.6,26.9,15.8
03/02/1991,27.6,25.6,26.6,5.1
04/02/1991,28.1,26.1,27.1,4.3
05/02/1991,28.6,26.2,27.4,5.0
06/02/1991,28.4,26.1,27.3,4.5
07/02/1991,28.4,26.3,27.3,3.4
08/02/1991,28.6,26.3,27.5,5.5
09/02/1991,28.4,26.2,27.3,7.0
10/02/1991,28.4,26.0,27.2,6.4
11/02/1991,28.3,26.0,27.2,6.3
12/02/1991,28.3,26.1,27.2,4.2
13/02/1991,28.5,26.3,27.4,7.5
14/02/1991,28.6,26.2,27.4,12.1
15/02/1991,28.3,25.9,27.1,13.3
16/02/1991,27.9,25.7,26.8,15.3
17/02/1991,27.8,25.5,26.7,13.6
18/02/1991,27.8,25.6,26.7,15.0
19/02/1991,27.8,25.4,26.6,12.8
20/02/1991,27.7,25.5,26.6,10.3
21/02/1991,27.9,25.6,26.8,9.8
22/02/1991,28.1,25.8,26.9,11.5
23/02/1991,27.9,25.7,26.8,12.3
24/02/1991,27.8,25.7,26.8,15.2
25/02/1991,27.9,25.5,26.7,10.2
26/02/1991,27.9,25.6,26.7,8.7
27/02/1991,28.0,25.7,26.8,10.4
28/02/1991,28.0,25.5,26.7,10.4
01/03/1991,,,,7.4
02/03/1991,27.8,25.7,26.7,5.9
03/03/1991,28.3,25.4,26.9,5.2
04/03/1991,28.1,25.6,26.8,5.3
05/03/1991,28.0,25.4,26.7,4.9
06/03/1991,27.9,25.5,26.7,1.9
07/03/1991,28.7,26.0,27.3,3.4
08/03/1991,28.4,25.9,27.2,3.3
09/03/1991,28.7,25.8,27.3,4.2
10/03/1991,28.4,25.7,27.1,5.7
11/03/1991,28.3,25.6,27.0,10.7
12/03/1991,28.0,25.2,26.6,12.4
13/03/1991,27.7,25.2,26.4,11.7
14/03/1991,27.9,25.2,26.6,7.1
15/03/1991,28.1,25.6,26.8,7.5
16/03/1991,28.4,25.6,27.0,5.1
17/03/1991,28.5,25.7,27.1,5.5
18/03/1991,28.6,25.9,27.3,4.6
19/03/1991,28.7,25.9,27.3,3.2
20/03/1991,28.8,26.1,27.4,4.8
21/03/1991,28.7,25.8,27.3,3.8
22/03/1991,28.8,25.9,27.3,5.1
23/03/1991,28.8,25.9,27.3,3.2
24/03/1991,28.9,26.1,27.5,3.6
25/03/1991,28.9,25.9,27.4,4.9
26/03/1991,28.9,25.9,27.4,5.0
27/03/1991,28.7,26.0,27.4,7.4
28/03/1991,28.5,25.8,27.2,7.1
29/03/1991,28.5,25.9,27.2,6.2
30/03/1991,28.8,26.0,27.4,7.8
31/03/1991,28.7,25.9,27.3,9.4
01/04/1991,,,,2.7
02/04/1991,28.5,25.6,27.1,3.3
03/04/1991,28.8,25.7,27.3,5.1
04/04/1991,28.4,25.6,27.0,8.1
05/04/1991,27.9,25.3,26.6,9.6
06/04/1991,28.1,25.2,26.7,12.3
07/04/1991,27.8,25.1,26.5,13.9
08/04/1991,27.6,25.0,26.3,15.0
09/04/1991,27.5,25.1,26.3,11.4
10/04/1991,27.8,25.2,26.5,11.1
11/04/1991,27.9,25.2,26.5,10.4
12/04/1991,28.0,25.3,26.6,9.6
13/04/1991,28.0,25.4,26.7,14.7
14/04/1991,27.9,25.3,26.6,12.3
15/04/1991,27.9,25.4,26.6,10.9
16/04/1991,28.0,25.5,26.7,7.4
17/04/1991,28.1,25.7,26.9,7.7
18/04/1991,28.2,25.9,27.0,7.9
19/04/1991,28.2,25.9,27.1,6.7
20/04/1991,28.3,26.0,27.2,4.9
21/04/1991,28.4,26.0,27.2,6.0
22/04/1991,28.3,26.0,27.2,4.7
23/04/1991,28.3,26.0,27.2,5.3
24/04/1991,28.3,26.0,27.1,4.8
25/04/1991,28.4,26.0,27.2,3.9
26/04/1991,28.4,25.9,27.2,2.5
27/04/1991,28.5,26.1,27.3,3.1
28/04/1991,28.5,26.0,27.2,3.2
29/04/1991,28.5,26.1,27.3,4.4
30/04/1991,28.4,26.1,27.2,3.9
01/05/1991,,,,0.8
02/05/1991,28.1,26.1,27.1,0.7
03/05/1991,28.3,26.0,27.1,0.6
04/05/1991,28.2,25.8,27.0,1.0
05/05/1991,27.9,25.8,26.9,1.2
06/05/1991,27.8,25.7,26.7,2.7
07/05/1991,27.8,25.5,26.7,2.3
08/05/1991,27.8,25.8,26.8,1.8
09/05/1991,28.1,26.0,27.0,1.3
10/05/1991,28.0,25.9,27.0,1.3
11/05/1991,27.9,25.6,26.8,1.9
